City_ID,City,Lat,Lng,Current Weather,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,Kenora,49.8167,-94.4337,smoke,74.59,43,75,10.36,CA,2021-08-01 18:56:24
118,Camocim,-2.9022,-40.8411,overcast clouds,88.45,48,87,11.65,BR,2021-08-01 19:04:25
119,Tarnogskiy Gorodok,60.4997,43.5761,overcast clouds,60.1,98,100,7.07,RU,2021-08-01 19:04:25
120,Ntcheu,-14.8203,34.6359,overcast clouds,61.7,57,98,4.61,MW,2021-08-01 19:04:26
121,Pahrump,36.2083,-115.9839,clear sky,94.44,31,4,3.0,US,2021-08-01 19:04:26
122,Starokostyantyniv,49.7576,27.2034,clear sky,71.2,68,7,9.35,UA,2021-08-01 19:04:26
123,Tiarei,-17.5333,-149.3333,scattered clouds,78.82,63,26,9.33,PF,2021-08-01 19:04:26
124,Luena,-11.7833,19.9167,clear sky,60.76,37,0,3.44,AO,2021-08-01 19:04:15
125,Hobart,-42.8794,147.3294,few clouds,38.05,87,11,1.99,AU,2021-08-01 18:57:14
126,Russell,32.3502,-85.1999,few clouds,94.28,49,20,6.91,US,2021-08-01 19:04:27
127,Colac,-38.3333,143.5833,few clouds,44.62,93,15,4.47,AU,2021-08-01 19:04:27
128,Newport,51.5877,-2.9984,broken clouds,67.68,70,82,4.59,GB,2021-08-01 18:55:07
129,Mochumi,-6.5469,-79.8631,clear sky,69.58,54,6,15.14,PE,2021-08-01 19:04:28
130,Souillac,-20.5167,57.5167,light rain,71.98,68,75,13.8,MU,2021-08-01 18:58:20
131,Zhigansk,66.7697,123.3711,scattered clouds,60.69,73,48,11.34,RU,2021-08-01 19:04:28
132,Port Alfred,-33.5906,26.891,few clouds,61.83,74,19,25.86,ZA,2021-08-01 18:54:11
133,Broome,42.2506,-75.833,overcast clouds,76.35,54,90,3.0,US,2021-08-01 18:59:29
134,Tuatapere,-46.1333,167.6833,overcast clouds,39.81,94,100,5.84,NZ,2021-08-01 18:58:20
135,Ostrovnoy,68.0531,39.5131,few clouds,49.12,83,15,8.61,RU,2021-08-01 19:03:23
